Costo,Tiempo
394.8999857384162,0.14984798431396484
434.2793964101668,0.12284088134765625
473.7862971258633,0.12195158004760742
434.2793668168322,0.15695834159851074
513.2464310160003,0.13016247749328613
414.5450754143778,0.1255507469177246
414.5450758540675,0.12201976776123047
296.10674643171797,0.12766289710998535
217.1397167003215,0.14013004302978516
513.2464099521239,0.12126588821411133
217.1397106560263,0.12185072898864746
651.4546452414343,0.12112736701965332
473.78628686276784,0.14906072616577148
335.57804823326796,0.13341283798217773
473.7862793528272,0.15483808517456055
434.2793652376258,0.12772631645202637
217.13970220303588,0.15103697776794434
335.5780312876983,0.12818455696105957
2.6784015119574178e-05,0.12636280059814453
335.5780319862824,0.12166261672973633
473.78627825000234,0.12073302268981934
434.27936547186755,0.1214745044708252
118.4383835534453,0.1221005916595459
770.3855607349044,0.12063169479370117
217.13969814397058,0.12226033210754395
633.2939400390987,0.12082481384277344
217.13971069279452,0.12169218063354492
118.43836101202112,0.1229255199432373
513.2464499450869,0.12174820899963379
473.7862698766026,0.1210026741027832
